actor_1_name,actor_1_facebook_likes
Dylan Walsh,426.00
Fann Wong,154.00
Bernard Hill,416.00
Scoot McNairy,660.00
Olivier Martinez,838.00
Alex Pettyfer,15000.00
Viggo Mortensen,10000.00
Deborah Kara Unger,495.00
Radha Mitchell,992.00
Matt Walsh,490.00
Louis Lombardi,437.00
Armin Mueller-Stahl,294.00
Mike Starr,854.00
Amber Valletta,627.00
Shô Kosugi,330.00
David Jason,325.00
Muse Watson,45000.00
J.D. Evermore,430.00
Grey Damon,629.00
Christina Milian,1000.00
Paul Brooke,51.00
Mia Kirshner,972.00
Julie Benz,3000.00
Ian Ziering,984.00
Alden Ehrenreich,1000.00
Chris Klein,841.00
Tobias Menzies,1000.00
Lauren Holly,879.00
Michael O'Neill,599.00
P.J. Soles,598.00
Corinna Harney,779.00
Nandita Das,113.00
Charlie Korsmo,678.00
Mark Margolis,1000.00
Rosie Perez,919.00
Donatas Banionis,29.00
Joseph Gilgun,788.00
Laurence Olivier,1000.00
Jonathan Winters,924.00
Regina Hall,807.00
Candice Bergen,545.00
Bradley Whitford,821.00
Natasha Lyonne,1000.00
Bill Cobbs,970.00
Sydney Pollack,521.00
Adam Garcia,811.00
Lucille Ball,6000.00
Dania Ramirez,1000.00
Demián Bichir,749.00
Richard Burgi,550.00
Kevin McNally,427.00
Virginia Madsen,913.00
Jim Sturgess,5000.00
Alexa PenaVega,2000.00
John de Lancie,905.00
Malese Jow,1000.00
Costas Mandylor,723.00
Marcela Mar,267.00
Pierre Perrier,164.00
Sam Waterston,849.00
Daniel Kaluuya,219.00
Clea DuVall,1000.00
Mel Blanc,1000.00
Judith Chapman,44.00
Augustus Prew,405.00
Imelda Staunton,579.00
John Witherspoon,723.00
Debra Messing,650.00
Bono,468.00
Robert Davi,683.00
Fisher Stevens,922.00
Tony Cox,624.00
Omar Sy,1000.00
Mekhi Phifer,1000.00
Jamel Debbouze,326.00
Julian Sands,687.00
Robert Clohessy,107.00
Joel McHale,734.00
Martin Kove,668.00
Bruce Greenwood,984.00
Tom Welling,3000.00
Jerry Ferrara,480.00
Javier Botet,1000.00
Andrew Garfield,10000.00
Carmen Perez,97.00
Beau Mirchoff,2000.00
Kelly Rutherford,287.00
Olivia Munn,2000.00
Wes Studi,855.00
Bokeem Woodbine,904.00
Jason Alexander,700.00
Sally Kirkland,433.00
Matthew Perry,2000.00
Krista Allen,164000.00
Joaquim de Almeida,578.00
Pink,836.00
Lisa Ann Walter,1000.00
Michael Jai White,2000.00
Rudy Youngblood,708.00
Joe Don Baker,387.00
Topher Grace,2000.00
Brian Dennehy,954.00
Gena Rowlands,545.00
Busy Philipps,1000.00
Johnny Cannizzaro,880.00
Lorraine Bracco,472.00
Sam Trammell,1000.00
Macaulay Culkin,3000.00
Bobby Lee,176.00
Miriam Margolyes,405.00
Alison Brie,2000.00
Michael Wincott,720.00
James Wilcox,683.00
Emma Bell,703.00
Jimmy Fallon,787.00
Bruce Dinsmore,51.00
Noah Bean,293.00
50 Cent,1000.00
Oliver Hudson,607.00
Catherine Deneuve,964.00
Stephen Rea,327.00
Jordi Mollà,877.00
Mira Sorvino,978.00
Dane Cook,1000.00
Bobbie Phillips,16000.00
Carol Kane,636.00
Richard Epcar,782.00
Mathieu Kassovitz,326.00
Mary-Kate Olsen,976.00
Omar Epps,865.00
Justin Theroux,1000.00
M. Emmet Walsh,521.00
Bridgette Wilson-Sampras,545.00
John Gatins,61.00
Sarah Roemer,884.00
James Brolin,499.00
Jennifer Jason Leigh,1000.00
Jay Hernandez,1000.00
Tamannaah Bhatia,218.00
Arliss Howard,152.00
Colin Ferguson,747.00
Adam Baldwin,2000.00
Takeshi Kaneshiro,755.00
Ethan Embry,982.00
Austin Pendleton,592.00
Tony Chiu Wai Leung,643.00
Blythe Auffarth,76.00
Sarah Silverman,931.00
D.B. Woodside,598.00
Sonia Braga,308.00
Beth Grant,628.00
Mo'Nique,940.00
Wilford Brimley,957.00
Gregory Scott Cummins,37.00
Tom Skerritt,1000.00
Mike Howard,378.00
Hayden Christensen,4000.00
Patton Oswalt,786.00
Laura-Leigh,740.00
Yuliya Snigir,463.00
Kathleen Quinlan,551.00
Bernie Casey,180.00
Charlie McDermott,496.00
Rick Yune,746.00
Blair Underwood,685.00
Stockard Channing,944.00
Cheryl Hines,541.00
Mike Tyson,461.00
Rene Russo,808.00
Catherine Dyer,768.00
Jon Foo,778.00
Amy Schumer,492.00
Michael Angarano,947.00
Natasha Henstridge,900.00
Dylan Baker,812.00
Scott Glenn,826.00
Charlyne Yi,529.00
Craig Parker,978.00
Heather O'Rourke,887.00
Danneel Ackles,1000.00
Ashley Williams,969.00
Jodi Lyn O'Keefe,897.00
Tatum O'Neal,288.00
Emilia Fox,396.00
Keisha Castle-Hughes,446.00
Robert Ri'chard,730.00
Aaliyah,775.00
Brian Blessed,591.00
Cicely Tyson,907.00
Daniel Mays,287.00
Frank Whaley,436.00
Mitch Pileggi,826.00
Ken Arnold,327.00
Drake Bell,1000.00
Alona Tal,1000.00
Shannon Elizabeth,1000.00
Jim Gaffigan,472.00
Alex Russell,465.00
Rosanna Arquette,605.00
Tim Meadows,553.00
Gregory Smith,694.00
Michiel Huisman,2000.00
Paul Sorvino,635.00
Mireille Enos,1000.00
Kevin Zegers,2000.00
Marley Shelton,690.00
Archie Panjabi,883.00
Ruth Wilson,2000.00
Oliver Reed,695.00
Olivier Martinez,837.00
Jeremy W. Auman,3.00
Maricel Álvarez,30.00
Tamsin Egerton,621.00
Richard E. Grant,554.00
David Paymer,372.00
Rumi Hiiragi,6.00
Tiago Riani,989.00
Liam Aiken,818.00
Terry Pheto,113.00
Nia Long,826.00
Kyle Hebert,324.00
Ryan Guzman,3000.00
Lin Shaye,852.00
Laura Harring,669.00
Ryan Kruger,165.00
James Coburn,773.00
Ana de la Reguera,678.00
Matt Lucas,722.00
Brandon T. Jackson,918.00
Illeana Douglas,344.00
Callum Rennie,716.00
Ken Howard,649.00
Frances Fisher,638.00
Alice Braga,1000.00
George Kennedy,3000.00
Joan Plowright,330.00
Rob Riggle,839.00
Alicia Witt,975.00
Desmond Llewelyn,244.00
Sharlto Copley,2000.00
John Doman,616.00
Emily Osment,1000.00
Elizabeth Daily,971.00
George Carlin,769.00
Hope Davis,442.00
Cory Hardrict,303.00
Zach Gilford,971.00
Josh Charles,1000.00
Tina Fey,2000.00
Antony Starr,506.00
Kurt Fuller,617.00
Brenda Song,1000.00
Patrick Macnee,1000.00
Mark Gatiss,567.00
Kate Upton,971.00
Mehcad Brooks,696.00
Edgar Arreola,455.00
Alyson Stoner,2000.00
Faizon Love,585.00
Danny Huston,430.00
Carmen Electra,869.00
Yaphet Kotto,581.00
Jessica Barden,157.00
Brian Thompson,663.00
Debi Mazar,680.00
Devin Ratray,1000.00
Craig Ferguson,759.00
Warren Beatty,631.00
Tika Sumpter,521.00
Rainn Wilson,973.00
Sarah Polley,900.00
Eddie Cibrian,849.00
Jessica Paré,489.00
Grace Phipps,596.00
Saffron Burrows,811.00
Ian Whyte,473.00
Annabella Sciorra,448.00
Ólafur Darri Ólafsson,147.00
Tyler Labine,779.00
Emir Kusturica,2000.00
Emily Watson,876.00
Dong-gun Jang,489.00
Steve Howey,826.00
Louise Bourgoin,295.00
Paz Vega,963.00
Konstantin Khabenskiy,114.00
Sandra Ellis Lafferty,523.00
Amanda Schull,757.00
Lisa Edelstein,955.00
Dick Clark,504.00
Aldis Hodge,559.00
Joe Lo Truglio,833.00
Eddie Cahill,639.00
Shun Oguri,173.00
Julian Glover,844.00
Lilli Lavine,11.00
Mia Sara,664.00
David Lyons,576.00
Vinessa Shaw,580.00
Zoë Kravitz,943.00
Elizabeth McGovern,553.00
Bianca Kajlich,731.00
Talulah Riley,422.00
Philip Baker Hall,497.00
Jacques Perrin,63.00
Samaire Armstrong,806.00
Scott Grimes,738.00
Mara Wilson,1000.00
Dominic Flores,1000.00
Matt Smith,2000.00
Tenzin Thuthob Tsarong,2.00
Louis Jourdan,594.00
Harold Ramis,11000.00
Richard Wilson,358.00
Phil Davis,386.00
Ellen Burstyn,1000.00
John Belushi,1000.00
America Ferrera,953.00
Dolly Parton,1000.00
Sharon Small,66.00
Gerald McRaney,523.00
Jackie Gleason,491.00
Piper Laurie,303.00
Harry Lennix,748.00
Meat Loaf,783.00
Kim-Marie Woodhouse,5.00
Erick Avari,567.00
Rob McElhenney,813.00
Ryan O'Neal,385.00
Robert Pine,332.00
Sarah Carter,748.00
Daniel Roebuck,1000.00
Pam Ferris,771.00
Rip Torn,826.00
Christopher Lambert,1000.00
David Conrad,642.00
Woody Allen,11000.00
Paul Hogan,442.00
Christo Jivkov,260.00
Luke Bracey,775.00
Katharine Isabelle,918.00
Cara Delevingne,554.00
Mike Vogel,2000.00
Kevin Nash,642.00
Bruce McGill,655.00
Lena Olin,541.00
Mary Lynn Rajskub,934.00
Bailee Madison,3000.00
Lee Remick,264.00
Chelan Simmons,440.00
Blythe Danner,713.00
Darcy Donavan,640000.00
Kelly Preston,742.00
Heather Locklear,695.00
Jim Meskimen,272.00
Dave Chappelle,744.00
Nicki Aycox,296.00
Lily Atkinson,328.00
Nicholas Gonzalez,601.00
Fanny Ardant,288.00
Alexis Arquette,285.00
Joseph Cotten,469.00
Ari Graynor,904.00
Jere Burns,460.00
Connie Ray,90.00
Aimee Garcia,618.00
Justin Fletcher,45.00
Claudia Christian,462.00
Tyler James Williams,931.00
Dianne Wiest,967.00
Stephen Dillane,577.00
Frank Langella,902.00
Laura Ramsey,960.00
Mark Valley,774.00
Frank Grillo,798.00
Chris Marquette,355.00
Martin Starr,985.00
Sissy Spacek,874.00
Chris Zylka,963.00
Frank Finlay,338.00
Marco Treviño,562.00
Victor Wong,400.00
Dany Boon,172.00
Tom Berenger,854.00
John Doe,181.00
Kyra Sedgwick,941.00
Alexander Skarsgård,10000.00
Brian Bosworth,174.00
Tanya Roberts,433.00
Cheech Marin,843.00
Donald Faison,927.00
Don McKellar,45.00
Dallas Barnett,473.00
Zoe Kazan,962.00
François Cluzet,541.00
Scout Taylor-Compton,908.00
Yolande Moreau,44.00
Sergey Garmash,21.00
Rod Steiger,279.00
Siu-Wong Fan,79.00
Minnie Driver,893.00
Gerry Bednob,218.00
Lena Horne,738.00
Willie Garson,512.00
Donald Pleasence,742.00
Seymour Cassel,327.00
Judith Barsi,912.00
Tasha Smith,721.00
Alessandro Nivola,527.00
Tom Burke,201.00
Cole Hauser,787.00
Romola Garai,805.00
Bingbing Fan,556.00
Drew Powell,129.00
Joan Rivers,1000.00
Cem Yilmaz,523.00
Louis Lombardi,436.00
Manish Dayal,820.00
Roma Downey,329.00
Sophia Myles,955.00
Denis O'Hare,896.00
Carlos Ponce,591.00
Jack Reynor,390.00
Radivoje Bukvic,150.00
Amanda Detmer,240.00
Zachary Gordon,975.00
Rock Hudson,638.00
Ed Skrein,805.00
Gary Lewis,203.00
Romain Duris,809.00
Pablo Rago,20.00
Ornella Muti,385.00
Paige Turco,533.00
Hunter Parrish,2000.00
Omari Hardwick,1000.00
Jason London,711.00
Chris Harrison,98.00
Elaine Hendrix,670.00
Bob Balaban,559.00
Ian Somerhalder,16000.00
Dean Stockwell,936.00
Angus T. Jones,1000.00
Bam Margera,608.00
Mackenzie Foy,6000.00
Miranda Cosgrove,2000.00
Shailene Woodley,8000.00
Leonard Roberts,962.00
Sam Claflin,11000.00
John Amos,982.00
Barry Watson,526.00
Kath Soucie,304.00
Lamman Rucker,607.00
Billy Crudup,745.00
Richard Lawson,508.00
Violante Placido,978.00
Jon Seda,565.00
Diedrich Bader,759.00
Jeremy Shada,860.00
Gunnar Hansen,383.00
William McNamara,10000.00
Marisa Saks,31000.00
Peter Firth,141.00
Isaiah Washington,534.00
Sela Ward,812.00
Johnny Lewis,741.00
Kay Panabaker,720.00
Jay Laga'aia,125.00
Leighton Meester,3000.00
Kevin Sussman,681.00
Kurtwood Smith,1000.00
Samira Wiley,646.00
Sheryl Lee,2000.00
Pablo Sevilla,0.00
Janet Leigh,606.00
Mako,691.00
Radha Mitchell,991.00
Shengyi Huang,264.00
Leah Remini,909.00
Mustafa Haidari,283.00
Thomas Lennon,651.00
Andy Dick,302.00
Ronald Reagan,1000.00
Andrew Fiscella,137000.00
James Callis,541.00
Aasif Mandvi,346.00
Taylor Cole,969.00
Quinton Aaron,734.00
Aisha Tyler,856.00
Scott Baio,650.00
Debbie Reynolds,786.00
Sammy Davis Jr.,683.00
Martin Dew,204.00
Chris Brown,997.00
Chriss Anglin,885.00
Kevin Alejandro,1000.00
Catherine Lough Haggquist,310.00
Cameron Bright,829.00
Landon Liboiron,1000.00
Dylan Authors,20.00
Isabelle Adjani,572.00
Steve Guttenberg,801.00
Donny Boaz,2000.00
Damon Wayans,836.00
William Hootkins,488.00
Esai Morales,699.00
Jiao Xu,46.00
Christian Clavier,106.00
Marco St. John,403.00
Peter Vaughan,310.00
Necar Zadegan,344.00
Andy Lau,483.00
Mani Bharathi,109.00
Joey D. Vieira,729.00
Moritz Bleibtreu,486.00
Mary McDonnell,933.00
Dan Byrd,1000.00
David Arquette,611.00
Scatman Crothers,888.00
Jeffrey Combs,885.00
Eric Mendenhall,607.00
Kari J. Kramer,731.00
Taran Killam,500.00
Mem Ferda,31000.00
Nicole 'Snooki' Polizzi,341.00
Bunta Sugawara,17.00
Katrina Bowden,948.00
Darci Kistler,2.00
Tony Nappo,654.00
Louis Koo,82.00
Craig Roberts,920.00
Luenell,332.00
Linda Cardellini,2000.00
Craig T. Nelson,723.00
Nia Vardalos,567.00
Shane Black,1000.00
Jeffrey Jones,692.00
Raoul Bova,727.00
Kristin Scott Thomas,1000.00
Peter Gallagher,828.00
Sally Hawkins,594.00
Christian Clemenson,97.00
Christian Monzon,2000.00
Hulk Hogan,844.00
Bob Newhart,643.00
Collette Wolfe,390.00
Nicholas Rowe,155.00
Kelsey Grammer,808.00
Alan Ruck,946.00
Jason Robards,372.00
Nancy Allen,517.00
Rebecca Budig,210.00
Joan Allen,805.00
Yaya DaCosta,712.00
David Margulies,567.00
Ian McDiarmid,1000.00
David Masterson,577.00
Tadanobu Asano,627.00
Barry Bostwick,456.00
Julie Christie,597.00
Bruce Greenwood,989.00
Poppy Montgomery,654.00
Ulrich Tukur,63.00
James Hetfield,364.00
Austin Nichols,663.00
Edgar Ramírez,897.00
Takuya Kimura,84.00
Greg Nicotero,1000.00
Ernie Reyes Jr.,444.00
Vanessa Ferlito,923.00
Jason Momoa,11000.00
Cassie Ventura,158.00
Henry Ian Cusick,866.00
Jennifer Hudson,549.00
Kirk Fox,109.00
Fionnula Flanagan,482.00
Jeremy Brett,453.00
Virginia Madsen,912.00
Chris Moss,33000.00
Emmanuelle Vaugier,1000.00
Kevin Grevioux,593.00
Morgan Saylor,427.00
T.I.,680.00
Thomas F. Wilson,690.00
Ava Gardner,715.00
Lou Taylor Pucci,394.00
DeRay Davis,328.00
Aidan Quinn,767.00
Tippi Hedren,634.00
Brenda Fricker,214.00
Julianna Guill,465.00
Hal Holbrook,826.00
Danny Strong,714.00
Bruno Kirby,227.00
Ethan Suplee,1000.00
Bérénice Bejo,996.00
Clive Russell,241.00
Jennifer Esposito,911.00
Ivana Baquero,634.00
Leslie Bibb,1000.00
Mo'Nique,939.00
Brittany Daniel,861.00
Bolo Yeung,633.00
Bill Bailey,175.00
Gustaf Skarsgård,908.00
Gretchen Mol,599.00
Farrah Fawcett,1000.00
Lochlyn Munro,555.00
Alison Lohman,1000.00
Charles Napier,503.00
Paz de la Huerta,488.00
Steven Van Zandt,422.00
David Alpay,232.00
Bruce Dern,844.00
Carole Bouquet,235.00
Dustin Milligan,499.00
Chen Chang,103.00
Bex Taylor-Klaus,460.00
Nicole Dionne,94.00
Beverly D'Angelo,816.00
Jackson Nicoll,925.00
Roger Allam,326.00
Frankie Muniz,934.00
Clayton Snyder,925.00
Jordana Brewster,4000.00
Rae'Ven Kelly,90.00
Claude Rains,607.00
Tony Goldwyn,956.00
Jack Davenport,1000.00
Jessie T. Usher,116.00
Kim Director,193.00
Christine Taylor,838.00
Sierra McCormick,512.00
Kieran Culkin,1000.00
Jeff Kober,919.00
William Hurt,882.00
Kelly Carlson,472.00
Jason Priestley,471.00
Yuri Lowenthal,354.00
Daniel Stern,796.00
Trevor Morgan,595.00
Oliver James,1000.00
David Ogden Stiers,443.00
Khandi Alexander,556.00
Elizabeth Berrington,65.00
Larry David,860.00
Matthew Settle,477.00
Levon Helm,572.00
Anna Silk,857.00
Thomas Kretschmann,918.00
Curtis Armstrong,876.00
Thomas Stroppel,192.00
Brigitte Helm,136.00
David Belle,510.00
Qi Shu,1000.00
Konstantin Lavronenko,20.00
Nirut Sirichanya,64.00
Christopher Heyerdahl,825.00
Eddie Izzard,776.00
Stephen Graham,1000.00
Anna Friel,735.00
Birgitte Hjort Sørensen,1000.00
Bruce Payne,179.00
Maximilian Dirr,61.00
Samantha Morton,631.00
Sharon Leal,467.00
Anil Kapoor,668.00
Fred Gwynne,886.00
María Valverde,892.00
Doug E. Doug,953.00
Jensen Ackles,10000.00
Caroline Munro,456.00
