director_name,director_facebook_likes
Kathryn Bigelow,0
John Milius,468
Andrey Konchalovskiy,96
Gary Ross,378
Paul W.S. Anderson,545
Genndy Tartakovsky,266
Kevin Lima,36
Daniel Espinosa,79
Nancy Meyers,278
Roger Allers,28
Neil Burger,168
Jean-Jacques Annaud,218
Sarah Smith,6
Martin Brest,102
Andrew Davis,99
Bob Fosse,189
Tarsem Singh,763
Edgar Wright,1000
Jon Amiel,36
Peter Segal,88
Pete Travis,38
George A. Romero,0
Sylvester Stallone,13000
Todd Phillips,480
Gary Winick,56
Mimi Leder,75
Mike Mitchell,31
Seth Gordon,91
Adam Shankman,163
D.J. Caruso,154
Anthony Minghella,333
Albert Hughes,117
Les Mayfield,10
Joe Pytka,30
Scott Derrickson,301
Ivan Reitman,425
Eric Brevig,40
Kelly Asbury,21
Stephen Hopkins,81
Jonathan Demme,438
Henry Jaglom,69
James Algar,11
Vincent Ward,25
Steven Brill,65
Terry Gilliam,0
Lucile Hadzihalilovic,92
Jonathan Mostow,84
Barry Cook,43
Roger Christian,64
Joe Dante,287
Kevin Costner,0
Antony Hoffman,14
Jacques Perrin,63
Andrés Couturier,0
Cody Cameron,18
John Singleton,309
Oliver Hirschbiegel,101
Des McAnuff,5
Yarrow Cheney,11
Stephen Norrington,45
Pierre Coffin,275
David Kellogg,16
Mike Nichols,0
F. Gary Gray,473
Antoine Fuqua,845
Robert Luketic,126
Gil Kenan,27
Barry Levinson,272
Jerry Zucker,109
Andy Tennant,72
Florent-Emilio Siri,17
Don Bluth,383
Ron Shelton,41
David Pastor,10
Henry Selick,253
Kyle Balda,22
Clay Kaytis,6
Judd Apatow,0
Steve Carr,41
Mel Gibson,0
David Silverman,30
Frank Darabont,0
Betty Thomas,84
Garry Marshall,0
Paul Tibbitt,5
Clark Johnson,69
Cameron Crowe,488
Randall Wallace,130
Jonathan Frakes,906
George Clooney,0
Gary Shore,28
Andrzej Bartkowiak,43
Måns Mårlind,24
Gregory Hoblit,40
Gary McKendry,5
Wych Kaosayananda,8
Mikael Salomon,13
Bobby Farrelly,101
Kerry Conran,14
Michael Caton-Jones,105
Mikael Håfström,101
Phil Alden Robinson,31
David Slade,171
Joseph Ruben,29
Seth MacFarlane,3000
Alejandro Amenábar,448
Kinka Usher,18
Craig Gillespie,44
Rob Bowman,38
Doug Lefler,4
Scott Waugh,76
Lawrence Kasdan,759
Michael Lembeck,54
Tom Hooper,0
Nora Ephron,0
Angelina Jolie Pitt,11000
Clint Eastwood,16000
Larry Charles,119
Stanley Kubrick,0
Will Gluck,87
Glenn Ficarra,43
David S. Goyer,687
Taylor Hackford,138
Michael Lehmann,36
Stuart Beattie,72
Roman Polanski,2000
Frank Miller,436
Baltasar Kormákur,175
Daniel Lee,10
Keenen Ivory Wayans,322
Rob Reiner,0
Marco Schnabel,12
Demian Lichtenstein,11
Josh Gordon,8
Tim Hill,25
David Frankel,64
Brenda Chapman,59
Marc Lawrence,30
Peter Billingsley,0
Wes Ball,47
Ryan Murphy,708
Robert Redford,0
Jay Russell,13
Kenny Ortega,197
David McNally,18
Brian Robbins,48
Brian Levant,32
Steven Zaillian,234
Chris Butler,28
Jon Avnet,50
Sam Fell,18
Kevin Donovan,11
Geoff Murphy,14
David O. Russell,737
Babak Najafi,24
Jean-Pierre Jeunet,0
Graham Annable,7
Griffin Dunne,165
John Pasquin,11
Ruben Fleischer,181
Harold Ramis,11000
Kevin Macdonald,162
Donald Petrie,80
Jorge Blanco,2
Stuart Baird,53
Joel Coen,0
Robert Lorenz,39
Harold Becker,17
Scott Stewart,124
Patrick Gilmore,0
Tony Bill,23
Rod Lurie,37
Walter Hill,394
Akiva Goldsman,167
Harald Zwart,91
Walter Salles,179
Iain Softley,34
David Koepp,192
Uwe Boll,892
Pou-Soi Cheang,3
John Dahl,131
Tim Miller,84
Stephen Herek,65
Peter MacDonald,10
Anthony Hemingway,143
Sean Anders,51
Mark Neveldine,83
John Madden,108
Kevin Bray,10
Mike Gabriel,12
Sam Weisman,39
Jesse Dylan,58
Wayne Wang,61
Gabriele Muccino,125
Tom Dey,9
Jimmy Hayward,39
Alan Parker,317
John Frankenheimer,287
Paul King,17
Akiva Schaffer,82
William Friedkin,607
Kent Alterman,3
Peter Lord,91
Shekhar Kapur,159
Karyn Kusama,45
Ron Maxwell,33
Robert Butler,0
Karey Kirkpatrick,11
Steve Antin,59
Jim Gillespie,13
Francis Ford Coppola,0
Richard Lester,44
Scott Cooper,108
Robert Rodriguez,0
Curtis Hanson,161
Phyllida Lloyd,58
Jay Chandrasekhar,422
Terrence Malick,0
David Dobkin,71
Milos Forman,869
Pierre Morel,180
Paul Hunter,13
Steve Oedekerk,176
John Whitesell,14
George Nolfi,53
Neil Jordan,277
Rawson Marshall Thurber,43
Spike Lee,0
Brian Helgeland,241
Frank Marshall,155
Hideo Nakata,62
Peter Hewitt,12
Joe Roth,148
Bennett Miller,152
Jaume Collet-Serra,174
Andy Fickman,99
James McTeigue,160
Matthew O'Callaghan,5
Angela Robinson,23
Gary Fleder,39
Tommy Wirkola,75
Adrian Lyne,213
Stephen Gaghan,79
Jorge R. Gutiérrez,34
Richard Loncraine,12
Christophe Gans,50
Howard Deutch,41
Jon Hurwitz,22
Steven Quale,77
John Landis,644
Alexander Witt,38
Beeban Kidron,17
Carl Franklin,73
Steven Seagal,0
Danny Boyle,0
Andrew Bergman,31
Barbet Schroeder,58
Peter Webber,73
Andrew Niccol,487
John Carpenter,0
Wes Anderson,0
David Cronenberg,0
John Stockwell,134
David Gordon Green,234
Jim Sheridan,260
Costa-Gavras,333
Patrick Read Johnson,32
Roland Joffé,596
Richard LaGravenese,98
Danny DeVito,0
George Armitage,5
Patrick Lussier,71
James Wong,70
Richard Curtis,628
Chuck Bowman,42
Olivier Megaton,118
Deepa Mehta,375
Warren Beatty,631
Penny Marshall,545
Ted Kotcheff,270
Andrei Tarkovsky,0
Paul Bolger,0
Stephen Frears,350
P.J. Hogan,29
Brad Furman,65
Terence Young,92
David Zucker,119
Denis Villeneuve,777
Thomas Carter,49
Roger Michell,50
Luis Llosa,49
Melville Shavelson,5
Garth Jennings,37
Joel Zwick,38
Russell Mulcahy,85
David R. Ellis,160
Peter Howitt,29
John A. Davis,8
David Lynch,0
Julie Taymor,278
Mathieu Kassovitz,326
John Gray,29
John Schultz,13
Sean Penn,0
Susan Stroman,38
Simon Wincer,23
Billy Bob Thornton,0
Danny Pang,15
George P. Cosmatos,170
Oliver Parker,32
Lawrence Kasanoff,11
Ben Affleck,0
Brian Gibson,13
Norman Ferguson,3
Michael Cimino,517
Paul McGuigan,118
Gus Van Sant,835
Roger Kumble,16
Burr Steers,23
John Hamburg,29
Reginald Hudlin,71
Joseph L. Mankiewicz,311
Barbra Streisand,0
Mark Pellington,89
John Glen,46
Catherine Hardwicke,308
John Herzfeld,17
Annabel Jankel,5
Julie Anne Robinson,30
Evan Goldberg,133
Sngmoo Lee,19
Jamel Debbouze,326
Gordon Chan,4
Asger Leth,20
John G. Avildsen,80
Anne Fletcher,98
Bruce Beresford,78
Sam Taylor-Johnson,456
Ken Kwapis,42
Wes Craven,0
Etan Cohen,164
Nick Cassavetes,415
Nicholas Stoller,89
Mark A.Z. Dippé,20
Cal Brunker,7
Nimród Antal,190
Alejandro Agresti,18
Peter Hedges,54
Paul Weiland,10
Colin Strause,25
Joan Chen,643
Greg Mottola,99
Jake Kasdan,52
Diane Keaton,0
Kelly Makin,6
Stephen Daldry,335
Christian Duguay,18
Justin Chadwick,56
Pat O'Connor,7
Frederik Du Chau,7
Irwin Winkler,34
Joseph Kahn,33
Sofia Coppola,0
Stephen Kay,19
J.A. Bayona,171
Elaine May,124
Dennie Gordon,29
Charles Shyer,14
Ulu Grosbard,22
William Malone,37
Malcolm D. Lee,92
Jerry Jameson,5
Mic Rodgers,7
Christian Alvart,22
Jean-Marie Poiré,8
Marc F. Adler,0
Geoffrey Sax,13
Richard Shepard,47
Peter Ho-Sun Chan,31
Joon-ho Bong,584
Jeff Nathanson,23
S.S. Rajamouli,50
Charles S. Dutton,534
Jonathan Lynn,36
David Carson,18
Kar-Wai Wong,0
Yuefeng Song,0
Norman Jewison,278
David Mirkin,7
Luis Mandoki,43
Lee Daniels,304
Jeb Stuart,11
Steve Miner,49
Paul Thomas Anderson,0
David Leland,2
J Blakeson,5
Ryan Coogler,0
Kirk Jones,52
Ethan Coen,1000
Jennifer Flackett,3
Kevin Smith,0
Christian Ditter,11
Charles Martin Smith,188
Fedor Bondarchuk,35
Irvin Kershner,883
Steve Pink,38
Scott Hicks,96
Chris Rock,0
Wilson Yip,25
Robert Wise,338
Kevin Rodney Sullivan,8
Kevin Munroe,14
Michael Tollin,19
Patrick Tatopoulos,148
Gary David Goldberg,30
Tobe Hooper,365
Alan Poul,16
Luke Greenfield,42
Gil Junger,19
Michael Ritchie,23
Steven E. de Souza,133
Alexandre Aja,192
Michael Rymer,48
Hugh Wilson,37
Mike Hodges,24
Scott Mann,8
Susanna White,24
Chris Carter,251
Tommy O'Haver,13
Peter Landesman,15
Gary Chapman,2
Craig Mazin,82
Allen Hughes,90
Kimble Rendall,0
Peter Yates,170
Lasse Hallström,529
Jean-Marc Vallée,212
Hark Tsui,85
David Ayer,453
Lexi Alexander,189
Ronny Yu,31
Bille August,55
Moustapha Akkad,278
Jean-Paul Rappeneau,22
Joachim Rønning,18
Tony Kaye,194
Ken Scott,31
Hugh Johnson,3
Hayao Miyazaki,6000
George Tillman Jr.,88
Rand Ravich,7
Hugh Hudson,46
Jeremy Degruson,0
Chris Gorak,21
Scott Speer,35
Joe Charbanic,10
Jonathan Hensleigh,36
Danny Cannon,41
Boaz Yakin,132
Richard Marquand,37
Neil Marshall,197
David Wain,136
Jared Hess,100
Rupert Wainwright,9
John Luessenhop,34
Justin Zackham,16
John Gatins,61
Miguel Sapochnik,238
Hyung-rae Shim,26
Don Scardino,35
Tim Robbins,0
Tom Reeve,0
Nanette Burstein,8
Ariel Vromen,34
Lewis Gilbert,43
John Francis Daley,0
J.B. Rogers,6
Michael Sucsy,23
Tom Vaughan,12
Stephen Hillenburg,47
Stig Bergqvist,0
Jason Reitman,655
Alexander Payne,729
Jonathan Levine,129
Rian Johnson,0
Chris Noonan,108
Michael McCullers,5
Forest Whitaker,0
Woody Allen,11000
Peter Lepeniotis,7
Ted Demme,47
William Shatner,0
Steve Box,9
James Gartner,0
Lee Toland Krieger,43
Tim McCanlies,23
Drew Goddard,246
Jason Friedberg,82
Paul Michael Glaser,343
John R. Leonetti,40
Tom Hanks,15000
Kimberly Peirce,108
Liz Friedlander,3
Phil Joanou,21
Shane Acker,30
Martha Coolidge,57
Stephen J. Anderson,15
Troy Miller,14
Tate Taylor,150
Brett Leonard,32
Alister Grierson,24
Nick Hurran,34
Charles Stone III,30
Paul Haggis,549
Kurt Wimmer,110
Jean-François Richet,25
Kevin Hooks,114
Ellory Elkayem,11
Niki Caro,51
Vincenzo Natali,165
Willard Huyck,8
Gavin O'Connor,149
Bruce Hunt,2
Chris Roberts,38
Jee-woon Kim,419
Nick Hamm,6
Andy Cadiff,3
Mike Disa,6
Richard J. Lewis,12
Sergio Leone,0
Niels Arden Oplev,76
Michael Radford,53
Steve Boyum,9
Kaige Chen,45
Corey Yuen,23
Andrew Dominik,181
Li Zhang,0
Laurent Tirard,2
Reinhard Klooss,7
Frédéric Auburtin,18
Olivier Dahan,61
Maksim Fadeev,0
Liliana Cavani,59
Greg Tiernan,5
Elizabeth Banks,0
Edward Norton,0
Ben Falcone,265
Richard Attenborough,0
Don Mancini,64
John Maybury,11
Igor Kovalyov,5
Shinji Aramaki,21
Miguel Arteta,44
James Gray,115
Janusz Kaminski,710
Robert B. Weide,53
Jeff Wadlow,65
Agustín Díaz Yanes,13
Camille Delamarre,11
David Lean,767
Richard Eyre,14
Nicholas Meyer,120
Callie Khouri,144
Sanaa Hamri,43
Todd Graff,650
Philip Kaufman,133
Saul Dibb,10
Walter Murch,181
Richard Linklater,0
E. Elias Merhige,54
Menno Meyjes,43
Jodie Foster,0
Scott Frank,71
Kevin Allen,8
Michael Cristofer,49
Andrew Morahan,5
Bob Rafelson,30
Michael Cohn,2
Alan Shapiro,0
Fernando Meirelles,353
Michael Hoffman,97
Oleg Stepchenko,0
Michael Winterbottom,187
Matt Reeves,198
Michael Pressman,34
Sharon Maguire,11
Charles Herman-Wurmfeld,0
Gabor Csupo,47
Tyler Perry,0
Joe Carnahan,248
John Polson,21
Bernardo Bertolucci,973
Cathy Malkasian,0
John Eng,0
Chris Nahon,20
Fred Wolf,29
Bille Woodruff,23
Victor Salva,108
Mark Helfrich,7
Steve Bendelack,68
Dwight H. Little,27
Guillaume Canet,0
Kirsten Sheridan,59
Richard Fleischer,130
Bob Spiers,14
Damien Dante Wayans,82
John Wells,53
Tim Fywell,3
Nigel Cole,13
Dexter Fletcher,452
Jeremy Leven,19
Sylvain White,41
Troy Nixey,24
Philip G. Atwell,5
Jeff Schaffer,17
Don Michael Paul,70
James Bridges,21
Steve Barron,48
Bill Paxton,0
Richard Kelly,219
Carter Smith,27
John Schlesinger,154
Ringo Lam,17
Bruce McCulloch,54
Patricia Riggen,36
Pascal Chaumeil,8
Jonathan Kaplan,57
Ole Bornedal,30
Richard Benjamin,121
Craig R. Baxley,22
John Hillcoat,214
John Guillermin,71
Marcos Siega,32
Rachel Talalay,54
Jeffrey W. Byrd,2
Atom Egoyan,460
Robert Towne,162
Giuseppe Tornatore,911
Werner Herzog,0
Ben Stassen,4
Jérôme Deschamps,0
Inna Evlannikova,0
Jonathan English,9
Sergey Bondarchuk,27
Teddy Chan,3
Mario Van Peebles,535
Leonard Nimoy,12000
Herbert Ross,71
Bonnie Hunt,597
Neil LaBute,119
Grant Heslov,293
George Gallo,269
Sidney Lumet,0
Douglas McGrath,41
Kevin Spacey,18000
Richard Williams,18
Mary McGuckian,6
Tony Goldwyn,956
Jonathan Newman,3
Michael Dinner,12
Joseph Sargent,114
Jerry Zaks,4
Fred Durst,258
Anne Fontaine,105
Jon Cassar,78
Mira Nair,300
Mel Brooks,0
Russell Crowe,0
Jessie Nelson,24
Christopher Spencer,25
Mike Bigelow,2
Daniel Sackheim,12
Harry Elfont,4
Uli Edel,34
Fred Dekker,87
Brian Trenchard-Smith,53
Blake Edwards,688
Laurence Dunmore,2
Christian Carion,13
David Palmer,21
Rowan Joffe,17
John Curran,43
Juan José Campanella,195
Trey Parker,406
Stuart Gillard,8
Katt Shea,52
Joshua Michael Stern,0
Tomas Alfredson,140
John Duigan,18
Colin Higgins,19
Jim Sonzero,2
Penelope Spheeris,122
Jeff Tremaine,79
Jeannot Szwarc,82
Steve McQueen,0
Thea Sharrock,17
Jon Lucas,24
Aaron Seltzer,64
Robin Budd,2
Ava DuVernay,151
Steve Trenbirth,0
Mennan Yapo,9
Jun Falkenstein,25
Tom McCarthy,310
Takashi Shimizu,70
Gary Nelson,20
Anton Corbijn,210
Gregory Nava,16
John Patrick Shanley,53
Joshua Logan,32
Steve Beck,17
Todd Strauss-Schulson,12
John McNaughton,39
Nelson McCormick,29
Eric Valette,2
Andrew Fleming,26
Michael Spierig,35
Jim Field Smith,14
Thomas Bezucha,15
William Brent Bell,19
Anthony Bell,0
Jessica Bendinger,31
Henry Joost,24
Ed Harris,0
Alfred Hitchcock,13000
Shana Feste,19
Steve Rash,15
Mike Binder,57
Michael J. Bassett,83
Frank Nissen,0
Stephen Chow,0
Peter Hastings,0
Paul Abascal,2
Chris Koch,13
Amy Heckerling,143
Michael Moore,909
George Stevens,126
Billy Ray,53
Mark Mylod,20
James Mather,4
Michael O. Sajbel,6
Charles T. Kanganis,18
Damon Santostefano,4
Bob Clark,84
Dave Borthwick,3
Benson Lee,9
Glen Morgan,17
Mike Leigh,608
Alejandro Monteverde,38
Jonathan Glazer,143
J.C. Chandor,78
Paul Gross,329
Marc Abraham,18
Todd Haynes,162
Mabrouk El Mechri,19
Charlie Kaufman,0
Nancy Walker,42
Angelo Pizzo,14
Matthew Diamond,12
Katsuhiro Ôtomo,78
David Anspaugh,25
Andrew Jarecki,46
Daniel Algrant,3
Jane Clark,23
Mike Barker,5
Wayne Thornley,0
Gnana Rajasekaran,0
Tom Walsh,2
Jonathan Jakubowicz,23
Scott Walker,17
Mark Rosman,15
Rob Hawk,97
Britt Allcroft,2
Alan Yuen,0
Brian Percival,33
Anand Tucker,14
Anthony Mann,75
Michael Dowse,31
Daniel Barnz,33
Emile Ardolino,22
Robert Altman,500
James Schamus,44
Andrew Douglas,15
Ricky Gervais,0
Vic Armstrong,179
Terry Zwigoff,72
Audrey Wells,22
Rick Friedberg,8
Sean McNamara,80
Jody Hill,62
Brandon Camp,7
Kevin Tancharoen,64
Nicholas Hytner,13
Bart Freundlich,38
William A. Fraker,28
John Boorman,128
Courtney Solomon,31
Jeff Kanew,6
István Szabó,109
Matthew Robbins,25
Hal Needham,379
Jeff Nichols,337
Jonathan Teplitzky,6
Michael Haneke,0
Zack Ward,662
Mike Marvin,28
Gregor Jordan,34
Tran Anh Hung,157
Lance Hool,0
Christian Volckman,2
Rodrigo Cortés,89
David Hayter,512
Cory Edwards,19
Terry George,83
Xavier Gens,87
Kasi Lemmons,148
Brian A Miller,32
Matt Dillon,0
George Cukor,165
John Hoffman,9
Kevin Greutert,52
John Fortenberry,12
Erik White,17
Chris Robinson,49
Jason Moore,36
Robert Harmon,11
Trent Cooper,0
Gary Halvorson,11
Antoine Fuqua,847
Nicholas Ray,117
Fede Alvarez,201
Sidney J. Furie,22
Ian Iqbal Rashid,8
Wayne Kramer,47
Rowdy Herrington,9
Jim Goddard,3
Noel Marshall,4
Andrea Di Stefano,30
Guillaume Ivernel,0
Jack Smight,22
Todd Lincoln,57
Howard Zieff,6
Steven Shainberg,30
Julian Jarrold,11
Joe Nussbaum,18
Vadim Perelman,26
Peter Farrelly,137
Michel Hazanavicius,405
Cyrus Nowrasteh,19
Perry Andelin Blake,11
Christian E. Christiansen,26
Sheldon Lettich,23
Diane English,15
Peter Flinth,5
Robert Iscove,7
Peter Kosminsky,7
Nick Gomez,22
Allen Coulter,47
Clare Kilner,6
Josef Rusnak,9
Lance Rivera,3
Ronald Neame,38
Bruce Paltrow,28
Adam Rifkin,89
Susanne Bier,369
Kenneth Johnson,34
James Ivory,133
Jessy Terrero,29
Dany Boon,172
Vicente Amorim,6
Gaspar Noé,929
Jérôme Salle,22
Tommy Lee Jones,0
Jesse Vaughan,10
William Bindley,4
Wayne Beach,7
Gérard Krawczyk,7
James Gunn,571
Udayan Prasad,4
JK Youn,2
Morten Tyldum,77
Andrés Muschietti,127
Gillian Armstrong,44
James Watkins,43
Jim Fall,13
Ric Roman Waugh,29
Michael Dougherty,66
Joel Gallen,11
James Marsh,120
Matt Williams,18
Rob Zombie,0
Dennis Iliadis,29
Rick Rosenthal,28
Denzel Washington,18000
Nicolas Winding Refn,0
Sara Sugarman,10
Juan Carlos Fresnadillo,35
Gina Prince-Bythewood,107
Phil Traill,3
Joe Berlinger,31
Elizabeth Allen Rosenbaum,20
Michael Mayer,15
Martin Weisz,7
John Ottman,83
John Bonito,8
Peter Atencio,10
David Nutter,119
Derek Cianfrance,310
Stephan Elliott,11
Mark L. Lester,73
Tom Green,374
Mike Nawrocki,12
Catherine Owens,0
Douglas Aarniokoski,36
Bryan Barber,16
Lone Scherfig,92
Drew Barrymore,0
Brian Koppelman,34
James Foley,164
Albert Brooks,745
Steve Gomer,9
RZA,561
Mark Piznarski,4
Craig Brewer,153
David Raynr,9
Mort Nathan,2
Dan Curtis,45
Wil Shriner,6
Martin McDonagh,454
Tina Gordon Chism,24
Peter Cattaneo,11
Vicky Jenson,96
Mary Lambert,52
Peter Kassovitz,0
Rodman Flender,6
Katja von Garnier,18
Mark Romanek,132
Brad Anderson,122
Michael Chapman,70
Antonio Banderas,0
Khalil Sullins,5
Fritz Lang,756
Hsiao-Hsien Hou,141
Andrey Zvyagintsev,445
Tony Jaa,0
Ryûhei Kitamura,129
Darrell Roodt,36
Dito Montiel,68
Stefan Ruzowitzky,24
Jake Paltrow,17
Juraj Jakubisko,15
Anthony Silverston,0
Gabe Ibáñez,19
Gerry Lively,93
Daniele Luchetti,6
Tung-Shing Yee,3
Julien Temple,67
Gregory Jacobs,13
Gilles Paquet-Brenner,15
Peter Cousens,5
Lars von Trier,3000
John Blanchard,0
John Cornell,5
Vidhu Vinod Chopra,34
Jamie Blanks,9
Randal Kleiser,116
Rick Famuyiwa,44
Alan Cohn,0
Franco Zeffirelli,160
Tom Holland,85
James Isaac,52
Emilio Estevez,0
Josh Schwartz,90
Julian Schnabel,232
Todd Field,143
Davis Guggenheim,49
Stephen Carpenter,12
James Fargo,109
Alain Resnais,752
Chao-Bin Su,2
Kenneth Lonergan,50
Bo Zenga,10
Danny Leiner,8
Christopher Cain,58
Theodore Melfi,51
Ed Decter,13
Gene Quintano,0
Eric Bress,19
Preston A. Whitmore II,17
Kirk Wong,6
Bronwen Hughes,15
John Lafia,5
Sam Miller,12
Alex Garland,232
Mark Brown,7
Michael Polish,35
Daisy von Scherler Mayer,18
Lenny Abrahamson,412
Bob Saget,799
John Waters,0
Craig Bolotin,7
Mark Christopher,15
Blair Hayes,2
Jez Butterworth,16
Olivier Assayas,107
Patrice Leconte,83
Paul Mazursky,150
Stephen Chbosky,139
Jon Hess,29
Joe Cornish,115
John H. Lee,32
John Stainton,0
Benedek Fliegauf,28
Paul Schrader,261
Stewart Hendler,10
John Cromwell,19
Mark Herman,39
Abel Ferrara,220
Ethan Maniquis,20
George Hickenlooper,60
Je-kyu Kang,16
William Dear,50
Stéphane Aubier,2
John Badham,139
Mike McCoy,16
Mike Judge,406
Tamra Davis,33
Nima Nourizadeh,166
Franklin J. Schaffner,76
John Erick Dowdle,66
David Moreau,0
Christopher Erskin,4
Brian Henson,53
Dan Cutforth,4
Josh Boone,131
Jake Schreier,14
Cheryl Dunye,17
Ernest R. Dickerson,226
Lionel C. Martin,3
Wallace Wolodarsky,32
Nicholas Jarecki,27
Dean Israelite,16
Darnell Martin,67
Scott Alexander,25
Stuart Gordon,216
Christopher Guest,378
Jane Campion,319
Fred Schepisi,40
Antonia Bird,61
Jon Poll,20
Paolo Sorrentino,667
Peter Care,0
Chan-wook Park,0
Ira Sachs,60
Carroll Ballard,19
Takeshi Kitano,0
Marco Kreuzpaintner,7
Lajos Koltai,45
Alan Rudolph,18
Chuan Lu,14
Lijun Sun,0
Takashi Yamazaki,7
Christopher Smith,76
Timothy Hines,0
David Winters,49
Akira Kurosawa,0
Jamie Thraves,2
Mabel Cheung,3
Dan Mazer,11
R.J. Cutler,15
David S. Ward,42
Rob Pritts,5
John Crowley,34
Brendan Malloy,2
Dustin Hoffman,0
Gregory Poirier,5
Simon Curtis,64
Dewey Nicks,4
Philip Saville,10
Tim Blake Nelson,596
William A. Graham,8
Martin Ritt,58
John Turturro,0
Agnieszka Holland,238
David Hackl,43
Giuliano Montaldo,4
Lisa Azuelos,15
Ray Lawrence,10
Karan Johar,160
Ruairi Robinson,7
Jaume Balagueró,57
Jon Kasdan,21
Léa Pool,4
Floyd Mutrux,11
Sajid Khan,0
Dean Wright,0
Eric Lartigau,7
Shintaro Shimosawa,29
